x,y
36,40
35,40
34,40
33,40
32,40
31,40
30,40
29,40
28,40
27,40
26,40
25,40
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,42
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,41
24,40
24,39
23,39
